species,island,culmen_length_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,181,3750,MALE
Adelie,Torgersen,39.5,186,3800,FEMALE
Adelie,Torgersen,40.3,195,3250,FEMALE
Adelie,Torgersen,36.7,193,3450,FEMALE
Adelie,Torgersen,39.3,190,3650,MALE
Adelie,Torgersen,38.9,181,3625,FEMALE
Adelie,Torgersen,39.2,195,4675,MALE
Adelie,Torgersen,34.1,193,3475,NA
Adelie,Torgersen,42,190,4250,NA
Adelie,Torgersen,37.8,186,3300,NA
Adelie,Torgersen,37.8,180,3700,NA
Adelie,Torgersen,41.1,182,3200,FEMALE
Adelie,Torgersen,38.6,191,3800,MALE
Adelie,Torgersen,34.6,198,4400,MALE
Adelie,Torgersen,36.6,185,3700,FEMALE
Adelie,Torgersen,38.7,195,3450,FEMALE
Adelie,Torgersen,42.5,197,4500,MALE
Adelie,Torgersen,34.4,184,3325,FEMALE
Adelie,Torgersen,46,194,4200,MALE
Adelie,Biscoe,37.8,174,3400,FEMALE
Adelie,Biscoe,37.7,180,3600,MALE
Adelie,Biscoe,35.9,189,3800,FEMALE
Adelie,Biscoe,38.2,185,3950,MALE
Adelie,Biscoe,38.8,180,3800,MALE
Adelie,Biscoe,35.3,187,3800,FEMALE
Adelie,Biscoe,40.6,183,3550,MALE
Adelie,Biscoe,40.5,187,3200,FEMALE
Adelie,Biscoe,37.9,172,3150,FEMALE
Adelie,Biscoe,40.5,180,3950,MALE
Adelie,Dream,39.5,178,3250,FEMALE
Adelie,Dream,37.2,178,3900,MALE
Adelie,Dream,39.5,188,3300,FEMALE
Adelie,Dream,40.9,184,3900,MALE
Adelie,Dream,36.4,195,3325,FEMALE
Adelie,Dream,39.2,196,4150,MALE
Adelie,Dream,38.8,190,3950,MALE
Adelie,Dream,42.2,180,3550,FEMALE
Adelie,Dream,37.6,181,3300,FEMALE
Adelie,Dream,39.8,184,4650,MALE
Adelie,Dream,36.5,182,3150,FEMALE
Adelie,Dream,40.8,195,3900,MALE
Adelie,Dream,36,186,3100,FEMALE
Adelie,Dream,44.1,196,4400,MALE
Adelie,Dream,37,185,3000,FEMALE
Adelie,Dream,39.6,190,4600,MALE
Adelie,Dream,41.1,182,3425,MALE
Adelie,Dream,37.5,179,2975,NA
Adelie,Dream,36,190,3450,FEMALE
Adelie,Dream,42.3,191,4150,MALE
Adelie,Biscoe,39.6,186,3500,FEMALE
Adelie,Biscoe,40.1,188,4300,MALE
Adelie,Biscoe,35,190,3450,FEMALE
Adelie,Biscoe,42,200,4050,MALE
Adelie,Biscoe,34.5,187,2900,FEMALE
Adelie,Biscoe,41.4,191,3700,MALE
Adelie,Biscoe,39,186,3550,FEMALE
Adelie,Biscoe,40.6,193,3800,MALE
Adelie,Biscoe,36.5,181,2850,FEMALE
Adelie,Biscoe,37.6,194,3750,MALE
Adelie,Biscoe,35.7,185,3150,FEMALE
Adelie,Biscoe,41.3,195,4400,MALE
Adelie,Biscoe,37.6,185,3600,FEMALE
Adelie,Biscoe,41.1,192,4050,MALE
Adelie,Biscoe,36.4,184,2850,FEMALE
Adelie,Biscoe,41.6,192,3950,MALE
Adelie,Biscoe,35.5,195,3350,FEMALE
Adelie,Biscoe,41.1,188,4100,MALE
Adelie,Torgersen,35.9,190,3050,FEMALE
Adelie,Torgersen,41.8,198,4450,MALE
Adelie,Torgersen,33.5,190,3600,FEMALE
Adelie,Torgersen,39.7,190,3900,MALE
Adelie,Torgersen,39.6,196,3550,FEMALE
Adelie,Torgersen,45.8,197,4150,MALE
Adelie,Torgersen,35.5,190,3700,FEMALE
Adelie,Torgersen,42.8,195,4250,MALE
Adelie,Torgersen,40.9,191,3700,FEMALE
Adelie,Torgersen,37.2,184,3900,MALE
Adelie,Torgersen,36.2,187,3550,FEMALE
Adelie,Torgersen,42.1,195,4000,MALE
Adelie,Torgersen,34.6,189,3200,FEMALE
Adelie,Torgersen,42.9,196,4700,MALE
Adelie,Torgersen,36.7,187,3800,FEMALE
Adelie,Torgersen,35.1,193,4200,MALE
Adelie,Dream,37.3,191,3350,FEMALE
Adelie,Dream,41.3,194,3550,MALE
Adelie,Dream,36.3,190,3800,MALE
Adelie,Dream,36.9,189,3500,FEMALE
Adelie,Dream,38.3,189,3950,MALE
Adelie,Dream,38.9,190,3600,FEMALE
Adelie,Dream,35.7,202,3550,FEMALE
Adelie,Dream,41.1,205,4300,MALE
Adelie,Dream,34,185,3400,FEMALE
Adelie,Dream,39.6,186,4450,MALE
Adelie,Dream,36.2,187,3300,FEMALE
Adelie,Dream,40.8,208,4300,MALE
Adelie,Dream,38.1,190,3700,FEMALE
Adelie,Dream,40.3,196,4350,MALE
Adelie,Dream,33.1,178,2900,FEMALE
Adelie,Dream,43.2,192,4100,MALE
Adelie,Biscoe,35,192,3725,FEMALE
Adelie,Biscoe,41,203,4725,MALE
