iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AUT,Europe,Austria,2/25/20,2,2,,,,,0.222,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/26/20,2,0,,,,,0.222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/27/20,3,1,,,,,0.333,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/28/20,3,0,,,,,0.333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/29/20,9,6,,,,,0.999,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/1/20,14,5,2,,,0,1.554,0.555,0.222,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/2/20,18,4,2.571,,,0,1.999,0.444,0.286,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/3/20,21,3,2.714,,,0,2.332,0.333,0.301,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/4/20,29,8,3.857,,,0,3.22,0.888,0.428,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/5/20,41,12,5.429,,,0,4.552,1.332,0.603,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/6/20,55,14,7.429,,,0,6.107,1.554,0.825,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/7/20,79,24,10,,,0,8.772,2.665,1.11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/8/20,104,25,12.857,,,0,11.547,2.776,1.428,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/9/20,131,27,16.143,,,0,14.545,2.998,1.792,,,0,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/10/20,182,51,23,,,0,20.208,5.663,2.554,,,0,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/11/20,246,64,31,,,0,27.314,7.106,3.442,,,0,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/12/20,302,56,37.286,1,1,0.143,33.532,6.218,4.14,0.111,0.111,0.016,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/13/20,504,202,64.143,1,0,0.143,55.96,22.428,7.122,0.111,0,0.016,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/14/20,655,151,82.286,1,0,0.143,72.726,16.766,9.136,0.111,0,0.016,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/15/20,860,205,108,1,0,0.143,95.488,22.762,11.991,0.111,0,0.016,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/16/20,1018,158,126.714,3,2,0.429,113.031,17.543,14.069,0.333,0.222,0.048,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/17/20,1332,314,164.286,3,0,0.429,147.895,34.864,18.241,0.333,0,0.048,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/18/20,1646,314,200,4,1,0.571,182.759,34.864,22.206,0.444,0.111,0.063,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/19/20,2013,367,244.429,6,2,0.714,223.508,40.749,27.139,0.666,0.222,0.079,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/20/20,2388,375,269.143,6,0,0.714,265.145,41.637,29.884,0.666,0,0.079,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/21/20,2814,426,308.429,8,2,1,312.444,47.3,34.245,0.888,0.222,0.111,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/22/20,3582,768,388.857,16,8,2.143,397.717,85.273,43.176,1.777,0.888,0.238,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/23/20,4474,892,493.714,21,5,2.571,496.758,99.041,54.818,2.332,0.555,0.286,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/24/20,5283,809,564.429,28,7,3.571,586.583,89.825,62.67,3.109,0.777,0.397,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/25/20,5588,305,563.143,30,2,3.714,620.448,33.865,62.527,3.331,0.222,0.412,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/26/20,6909,1321,699.429,49,19,6.143,767.121,146.673,77.659,5.441,2.11,0.682,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/27/20,7657,748,752.714,58,9,7.429,850.173,83.052,83.575,6.44,0.999,0.825,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/28/20,8271,614,779.571,68,10,8.571,918.347,68.174,86.557,7.55,1.11,0.952,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/29/20,8788,517,743.714,86,18,10,975.751,57.404,82.576,9.549,1.999,1.11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/30/20,9618,830,734.857,108,22,12.429,1067.907,92.157,81.593,11.991,2.443,1.38,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,3/31/20,10180,562,699.571,128,20,14.286,1130.307,62.4,77.675,14.212,2.221,1.586,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/1/20,10711,531,731.857,146,18,16.571,1189.265,58.958,81.26,16.211,1.999,1.84,1,215,23.872,856,95.044,,,,,,16834,1.869,,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/2/20,11129,418,602.857,158,12,15.571,1235.677,46.411,66.937,17.543,1.332,1.729,0.91,219,24.316,823,91.379,,,,,75356,92190,10.236,8.367,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/3/20,11524,395,552.429,168,10,15.714,1279.535,43.858,61.337,18.653,1.11,1.745,0.84,245,27.203,829,92.046,,,,,6153,98343,10.919,0.683,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/4/20,11781,257,501.429,186,18,16.857,1308.07,28.535,55.675,20.652,1.999,1.872,0.77,245,27.203,826,91.713,,,,,5791,104134,11.562,0.643,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/5/20,12051,270,466.143,204,18,16.857,1338.048,29.979,51.757,22.651,1.999,1.872,0.73,244,27.092,712,79.055,,,,,4282,108416,12.038,0.475,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/6/20,12297,246,382.714,220,16,16,1365.362,27.314,42.494,24.427,1.777,1.777,0.71,250,27.758,824,91.49,,,,,2880,111296,12.357,0.32,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/7/20,12639,342,351.286,243,23,16.429,1403.335,37.973,39.004,26.981,2.554,1.824,0.7,243,26.981,857,95.155,,,,,3939,115235,12.795,0.437,,,,,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/8/20,12942,303,318.714,273,30,18.143,1436.978,33.643,35.388,30.312,3.331,2.014,0.68,267,29.646,829,92.046,,,,,5520,120755,13.408,0.613,14846,1.648,0.021,46.6,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/9/20,13244,302,302.143,295,22,19.571,1470.51,33.532,33.548,32.754,2.443,2.173,0.66,266,29.535,820,91.046,,,,,5532,126287,14.022,0.614,4871,0.541,0.062,16.1,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/10/20,13555,311,290.143,319,24,21.571,1505.041,34.531,32.215,35.419,2.665,2.395,0.64,261,28.979,771,85.606,,,,,8456,134743,14.961,0.939,5200,0.577,0.056,17.9,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,4/11/20,13806,251,289.286,337,18,21.571,1532.91,27.869,32.12,37.418,1.999,2.395,0.6,245,27.203,790,87.715,,,,,6232,140975,15.653,0.692,5263,0.584,0.055,18.2,tests performed,,,,,,,,,,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
