NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total National Health Expenditures," 27,122 "," 29,060 "," 31,765 "," 34,559 "," 38,245 "," 41,627 "," 45,753 "," 51,187 "," 58,016 "," 65,418 "," 74,078 "," 82,382 "," 92,388 "," 102,657 "," 116,315 "," 132,658 "," 152,025 "," 172,646 "," 193,952 "," 219,660 "," 253,221 "," 293,584 "," 330,946 "," 364,798 "," 401,892 "," 439,885 "," 472,273 "," 514,467 "," 576,663 "," 642,154 "," 718,770 "," 786,075 "," 852,401 "," 915,107 "," 965,990 "," 1,020,632 "," 1,073,968 "," 1,133,428 "," 1,198,856 "," 1,273,587 "," 1,365,588 "," 1,482,925 "," 1,630,567 "," 1,769,845 "," 1,899,500 "," 2,029,539 "," 2,166,280 "," 2,305,150 "," 2,402,486 "," 2,492,769 "," 2,589,719 "," 2,676,415 "," 2,783,097 "," 2,859,517 "," 3,008,305 "," 3,177,724 "," 3,324,528 "," 3,465,878 "," 3,629,690 "," 3,795,384 "
     Out of pocket," 12,777 "," 13,192 "," 14,083 "," 15,169 "," 16,666 "," 17,858 "," 18,126 "," 17,977 "," 19,942 "," 21,899 "," 24,194 "," 25,500 "," 27,787 "," 30,717 "," 33,272 "," 36,006 "," 39,251 "," 43,100 "," 45,996 "," 49,876 "," 55,195 "," 61,881 "," 68,530 "," 74,567 "," 82,308 "," 91,468 "," 99,527 "," 105,697 "," 116,064 "," 122,381 "," 133,495 "," 136,473 "," 138,820 "," 140,190 "," 138,062 "," 140,734 "," 145,993 "," 156,044 "," 170,881 "," 180,773 "," 193,429 "," 200,730 "," 219,078 "," 235,074 "," 249,161 "," 265,005 "," 278,099 "," 293,444 "," 299,855 "," 296,510 "," 301,397 "," 310,229 "," 323,063 "," 330,410 "," 339,918 "," 353,807 "," 367,277 "," 374,480 "," 388,789 "," 406,507 "
     Health Insurance," 7,325 "," 8,044 "," 8,786 "," 9,662 "," 10,712 "," 11,726 "," 15,362 "," 20,796 "," 24,019 "," 27,202 "," 31,354 "," 36,220 "," 41,971 "," 47,316 "," 55,235 "," 65,499 "," 77,980 "," 91,621 "," 104,786 "," 120,734 "," 140,244 "," 165,218 "," 187,608 "," 209,235 "," 233,045 "," 254,674 "," 270,303 "," 295,493 "," 332,662 "," 380,514 "," 431,289 "," 484,208 "," 534,590 "," 583,205 "," 626,493 "," 670,833 "," 711,296 "," 747,648 "," 778,197 "," 829,561 "," 901,456 "," 995,319 "," 1,097,582 "," 1,195,519 "," 1,292,262 "," 1,387,175 "," 1,487,669 "," 1,581,871 "," 1,663,268 "," 1,758,638 "," 1,832,637 "," 1,902,581 "," 1,971,512 "," 2,021,347 "," 2,155,186 "," 2,293,270 "," 2,405,571 "," 2,506,130 "," 2,633,777 "," 2,752,837 "
          Private Health Insurance," 5,640 "," 6,276 "," 6,964 "," 7,721 "," 8,793 "," 9,775 "," 9,985 "," 10,139 "," 11,470 "," 12,999 "," 15,090 "," 17,332 "," 20,045 "," 22,282 "," 25,360 "," 29,747 "," 36,336 "," 44,199 "," 50,726 "," 58,950 "," 67,135 "," 79,292 "," 91,184 "," 101,621 "," 114,693 "," 126,712 "," 131,681 "," 144,635 "," 170,209 "," 198,019 "," 226,061 "," 246,992 "," 266,192 "," 285,222 "," 297,965 "," 314,693 "," 332,858 "," 348,881 "," 370,831 "," 401,031 "," 440,440 "," 482,826 "," 536,970 "," 588,851 "," 630,381 "," 674,198 "," 707,305 "," 748,682 "," 769,973 "," 795,062 "," 820,111 "," 851,112 "," 877,856 "," 881,300 "," 926,855 "," 981,644 "," 1,039,609 "," 1,091,138 "," 1,152,174 "," 1,195,146 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,842 "," 4,924 "," 6,218 "," 7,045 "," 7,672 "," 8,443 "," 9,325 "," 10,730 "," 13,428 "," 16,336 "," 19,694 "," 22,891 "," 26,668 "," 30,922 "," 37,387 "," 44,769 "," 52,351 "," 59,559 "," 66,207 "," 71,829 "," 76,829 "," 83,081 "," 88,965 "," 101,137 "," 110,182 "," 120,617 "," 135,996 "," 149,965 "," 167,670 "," 184,393 "," 198,750 "," 210,376 "," 209,420 "," 213,173 "," 224,829 "," 247,686 "," 265,381 "," 282,668 "," 311,122 "," 339,762 "," 403,692 "," 432,750 "," 466,970 "," 498,628 "," 519,536 "," 544,596 "," 568,368 "," 588,919 "," 617,572 "," 647,835 "," 675,768 "," 704,716 "," 749,140 "," 799,356 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ," 1,304 "," 3,141 "," 3,541 "," 4,174 "," 5,290 "," 6,695 "," 8,314 "," 9,423 "," 11,073 "," 13,446 "," 15,188 "," 17,464 "," 19,465 "," 22,332 "," 26,032 "," 30,307 "," 32,011 "," 35,266 "," 38,233 "," 40,937 "," 45,383 "," 50,339 "," 55,080 "," 61,952 "," 73,661 "," 93,211 "," 108,186 "," 122,373 "," 134,414 "," 144,862 "," 152,170 "," 160,849 "," 169,013 "," 183,471 "," 200,383 "," 224,132 "," 248,100 "," 268,963 "," 290,743 "," 309,351 "," 306,680 "," 325,856 "," 344,398 "," 374,709 "," 397,425 "," 406,742 "," 422,903 "," 445,205 "," 498,167 "," 542,733 "," 564,776 "," 578,186 "," 595,951 "," 613,487 "
                          Federal  , -   , -   , -   , -   , -   , -   , 632 ," 1,525 "," 1,835 "," 2,298 "," 2,842 "," 3,810 "," 4,547 "," 4,933 "," 6,277 "," 7,409 "," 9,153 "," 9,896 "," 10,919 "," 12,705 "," 14,521 "," 16,902 "," 17,843 "," 19,587 "," 21,096 "," 22,594 "," 25,187 "," 27,868 "," 30,995 "," 35,077 "," 42,607 "," 56,847 "," 68,602 "," 76,961 "," 81,052 "," 85,945 "," 91,099 "," 94,954 "," 98,649 "," 107,154 "," 116,848 "," 132,213 "," 145,256 "," 160,794 "," 172,317 "," 177,513 "," 173,945 "," 185,559 "," 203,209 "," 247,532 "," 266,497 "," 247,268 "," 243,400 "," 256,852 "," 305,940 "," 342,650 "," 357,778 "," 360,004 "," 372,113 "," 387,467 "
                          State and Local, -   , -   , -   , -   , -   , -   , 672 ," 1,616 "," 1,707 "," 1,877 "," 2,447 "," 2,886 "," 3,766 "," 4,490 "," 4,797 "," 6,037 "," 6,036 "," 7,568 "," 8,547 "," 9,627 "," 11,511 "," 13,405 "," 14,168 "," 15,679 "," 17,137 "," 18,343 "," 20,196 "," 22,471 "," 24,085 "," 26,876 "," 31,054 "," 36,364 "," 39,585 "," 45,412 "," 53,363 "," 58,917 "," 61,071 "," 65,896 "," 70,364 "," 76,317 "," 83,535 "," 91,919 "," 102,845 "," 108,169 "," 118,426 "," 131,838 "," 132,736 "," 140,296 "," 141,188 "," 127,177 "," 130,929 "," 159,474 "," 179,503 "," 188,352 "," 192,227 "," 200,082 "," 206,998 "," 218,182 "," 223,838 "," 226,020 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 399 ," 1,723 "," 3,012 "," 4,169 "," 5,494 "," 6,296 "," 7,167 "," 7,566 "," 8,366 "," 9,123 "," 10,211 "," 11,106 "," 11,540 "," 11,988 "," 12,624 "," 13,497 "," 13,212 "," 14,748 "," 16,778 "," 18,079 "," 18,644 "," 19,927 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 276 ," 1,199 "," 2,097 "," 2,915 "," 3,838 "," 4,410 "," 4,982 "," 5,254 "," 5,756 "," 6,320 "," 7,126 "," 7,812 "," 8,052 "," 8,375 "," 8,777 "," 9,354 "," 9,216 "," 10,984 "," 15,251 "," 16,502 "," 17,220 "," 17,967 "
