"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","1980",74.6,
"AUS","LIFEEXP","TOT","YR","A","1981",74.9,
"AUS","LIFEEXP","TOT","YR","A","1982",74.7,
"AUS","LIFEEXP","TOT","YR","A","1983",75.5,
"AUS","LIFEEXP","TOT","YR","A","1984",75.8,
"AUS","LIFEEXP","TOT","YR","A","1985",75.6,
"AUS","LIFEEXP","TOT","YR","A","1986",76.1,
"AUS","LIFEEXP","TOT","YR","A","1987",76.3,
"AUS","LIFEEXP","TOT","YR","A","1988",76.3,
"AUS","LIFEEXP","TOT","YR","A","1989",76.5,
"AUS","LIFEEXP","TOT","YR","A","1990",77,
"AUS","LIFEEXP","TOT","YR","A","1991",77.4,
"AUS","LIFEEXP","TOT","YR","A","1992",77.5,
"AUS","LIFEEXP","TOT","YR","A","1993",78,
"AUS","LIFEEXP","TOT","YR","A","1994",78,
"AUS","LIFEEXP","TOT","YR","A","1995",77.9,
"AUS","LIFEEXP","TOT","YR","A","1996",78.2,
"AUS","LIFEEXP","TOT","YR","A","1997",78.5,
"AUS","LIFEEXP","TOT","YR","A","1998",78.7,
"AUS","LIFEEXP","TOT","YR","A","1999",79,
"AUS","LIFEEXP","TOT","YR","A","2000",79.3,
"AUS","LIFEEXP","TOT","YR","A","2001",79.7,
"AUS","LIFEEXP","TOT","YR","A","2002",80,
"AUS","LIFEEXP","TOT","YR","A","2003",80.3,
"AUS","LIFEEXP","TOT","YR","A","2004",80.6,
"AUS","LIFEEXP","TOT","YR","A","2005",80.9,
"AUS","LIFEEXP","TOT","YR","A","2006",81.1,
"AUS","LIFEEXP","TOT","YR","A","2007",81.4,
"AUS","LIFEEXP","TOT","YR","A","2008",81.5,
"AUS","LIFEEXP","TOT","YR","A","2009",81.6,
"AUS","LIFEEXP","TOT","YR","A","2010",81.8,
"AUS","LIFEEXP","TOT","YR","A","2011",82,
"AUS","LIFEEXP","TOT","YR","A","2012",82.1,
"AUS","LIFEEXP","TOT","YR","A","2013",82.2,
"AUS","LIFEEXP","TOT","YR","A","2014",82.4,
"AUS","LIFEEXP","TOT","YR","A","2015",82.5,
"AUS","LIFEEXP","TOT","YR","A","2016",82.5,
"AUS","LIFEEXP","TOT","YR","A","2017",82.6,
"AUS","LIFEEXP","TOT","YR","A","2018",82.8,
"AUT","LIFEEXP","TOT","YR","A","1980",72.6,
"AUT","LIFEEXP","TOT","YR","A","1981",72.9,
"AUT","LIFEEXP","TOT","YR","A","1982",73.1,
"AUT","LIFEEXP","TOT","YR","A","1983",73.1,
"AUT","LIFEEXP","TOT","YR","A","1984",73.7,
"AUT","LIFEEXP","TOT","YR","A","1985",73.9,
"AUT","LIFEEXP","TOT","YR","A","1986",74.4,
"AUT","LIFEEXP","TOT","YR","A","1987",74.9,
"AUT","LIFEEXP","TOT","YR","A","1988",75.3,
"AUT","LIFEEXP","TOT","YR","A","1989",75.4,
"AUT","LIFEEXP","TOT","YR","A","1990",75.7,
"AUT","LIFEEXP","TOT","YR","A","1991",75.7,
"AUT","LIFEEXP","TOT","YR","A","1992",75.9,
"AUT","LIFEEXP","TOT","YR","A","1993",76.2,
"AUT","LIFEEXP","TOT","YR","A","1994",76.5,
"AUT","LIFEEXP","TOT","YR","A","1995",76.8,
"AUT","LIFEEXP","TOT","YR","A","1996",77,
"AUT","LIFEEXP","TOT","YR","A","1997",77.4,
"AUT","LIFEEXP","TOT","YR","A","1998",77.8,
"AUT","LIFEEXP","TOT","YR","A","1999",78,
"AUT","LIFEEXP","TOT","YR","A","2000",78.2,
"AUT","LIFEEXP","TOT","YR","A","2001",78.7,
"AUT","LIFEEXP","TOT","YR","A","2002",78.8,
"AUT","LIFEEXP","TOT","YR","A","2003",78.7,
"AUT","LIFEEXP","TOT","YR","A","2004",79.3,
"AUT","LIFEEXP","TOT","YR","A","2005",79.4,
"AUT","LIFEEXP","TOT","YR","A","2006",80,
"AUT","LIFEEXP","TOT","YR","A","2007",80.3,
"AUT","LIFEEXP","TOT","YR","A","2008",80.5,
"AUT","LIFEEXP","TOT","YR","A","2009",80.4,
"AUT","LIFEEXP","TOT","YR","A","2010",80.7,
"AUT","LIFEEXP","TOT","YR","A","2011",81.1,
"AUT","LIFEEXP","TOT","YR","A","2012",81,
"AUT","LIFEEXP","TOT","YR","A","2013",81.2,
"AUT","LIFEEXP","TOT","YR","A","2014",81.6,
"AUT","LIFEEXP","TOT","YR","A","2015",81.3,
"AUT","LIFEEXP","TOT","YR","A","2016",81.7,
"AUT","LIFEEXP","TOT","YR","A","2017",81.7,
"AUT","LIFEEXP","TOT","YR","A","2018",81.8,
