"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","USD_CAP","A","1980",2629.693,
"AUS","SOCEXP","PUB","USD_CAP","A","1981",2662.466,
"AUS","SOCEXP","PUB","USD_CAP","A","1982",2804.793,
"AUS","SOCEXP","PUB","USD_CAP","A","1983",3024.657,
"AUS","SOCEXP","PUB","USD_CAP","A","1984",3248.46,
"AUS","SOCEXP","PUB","USD_CAP","A","1985",3360.25,
"AUS","SOCEXP","PUB","USD_CAP","A","1986",3349.898,
"AUS","SOCEXP","PUB","USD_CAP","A","1987",3563.037,
"AUS","SOCEXP","PUB","USD_CAP","A","1988",3429.322,
"AUS","SOCEXP","PUB","USD_CAP","A","1989",3534.518,
"AUS","SOCEXP","PUB","USD_CAP","A","1990",3928.253,
"AUS","SOCEXP","PUB","USD_CAP","A","1991",4239.755,
"AUS","SOCEXP","PUB","USD_CAP","A","1992",4659.895,
"AUS","SOCEXP","PUB","USD_CAP","A","1993",4884.162,
"AUS","SOCEXP","PUB","USD_CAP","A","1994",4934.387,
"AUS","SOCEXP","PUB","USD_CAP","A","1995",5614.113,
"AUS","SOCEXP","PUB","USD_CAP","A","1996",5805.342,
"AUS","SOCEXP","PUB","USD_CAP","A","1997",5920.537,
"AUS","SOCEXP","PUB","USD_CAP","A","1998",6461.523,
"AUS","SOCEXP","PUB","USD_CAP","A","1999",6502.822,
"AUS","SOCEXP","PUB","USD_CAP","A","2000",6934.889,
"AUS","SOCEXP","PUB","USD_CAP","A","2001",6845.28,
"AUS","SOCEXP","PUB","USD_CAP","A","2002",6893.75,
"AUS","SOCEXP","PUB","USD_CAP","A","2003",7172.538,
"AUS","SOCEXP","PUB","USD_CAP","A","2004",7194.949,
"AUS","SOCEXP","PUB","USD_CAP","A","2005",7075.806,
"AUS","SOCEXP","PUB","USD_CAP","A","2006",6823.445,
"AUS","SOCEXP","PUB","USD_CAP","A","2007",7015.665,
"AUS","SOCEXP","PUB","USD_CAP","A","2008",7529.935,
"AUS","SOCEXP","PUB","USD_CAP","A","2009",7448.41,
"AUS","SOCEXP","PUB","USD_CAP","A","2010",7377.086,
"AUS","SOCEXP","PUB","USD_CAP","A","2011",7767.754,
"AUS","SOCEXP","PUB","USD_CAP","A","2012",7962.334,
"AUS","SOCEXP","PUB","USD_CAP","A","2013",7999.652,
"AUS","SOCEXP","PUB","USD_CAP","A","2014",8302.617,
"AUS","SOCEXP","PUB","USD_CAP","A","2015",8584.749,
"AUS","SOCEXP","PUB","USD_CAP","A","2016",8298.928,
"AUS","SOCEXP","PUB","USD_CAP","A","2017",8063.4,
"AUT","SOCEXP","PUB","USD_CAP","A","1980",6309.429,
"AUT","SOCEXP","PUB","USD_CAP","A","1985",7174.692,
"AUT","SOCEXP","PUB","USD_CAP","A","1990",8187.938,
"AUT","SOCEXP","PUB","USD_CAP","A","1991",8502.015,
"AUT","SOCEXP","PUB","USD_CAP","A","1992",8836.443,
"AUT","SOCEXP","PUB","USD_CAP","A","1993",9289.024,
"AUT","SOCEXP","PUB","USD_CAP","A","1994",9793.055,
"AUT","SOCEXP","PUB","USD_CAP","A","1995",10020.406,
"AUT","SOCEXP","PUB","USD_CAP","A","1996",10290.137,
"AUT","SOCEXP","PUB","USD_CAP","A","1997",10277.127,
"AUT","SOCEXP","PUB","USD_CAP","A","1998",10542.137,
"AUT","SOCEXP","PUB","USD_CAP","A","1999",11032.558,
"AUT","SOCEXP","PUB","USD_CAP","A","2000",11260.88,
"AUT","SOCEXP","PUB","USD_CAP","A","2001",11387.954,
"AUT","SOCEXP","PUB","USD_CAP","A","2002",11651.415,
"AUT","SOCEXP","PUB","USD_CAP","A","2003",11950.259,
"AUT","SOCEXP","PUB","USD_CAP","A","2004",12083.068,
"AUT","SOCEXP","PUB","USD_CAP","A","2005",12094.734,
"AUT","SOCEXP","PUB","USD_CAP","A","2006",12310.184,
"AUT","SOCEXP","PUB","USD_CAP","A","2007",12440.156,
"AUT","SOCEXP","PUB","USD_CAP","A","2008",12797.534,
"AUT","SOCEXP","PUB","USD_CAP","A","2009",13225.518,
"AUT","SOCEXP","PUB","USD_CAP","A","2010",13484.027,
"AUT","SOCEXP","PUB","USD_CAP","A","2011",13421.883,
"AUT","SOCEXP","PUB","USD_CAP","A","2012",13636.438,
"AUT","SOCEXP","PUB","USD_CAP","A","2013",13761.584,
"AUT","SOCEXP","PUB","USD_CAP","A","2014",13851.207,
"AUT","SOCEXP","PUB","USD_CAP","A","2015",13855.019,
"AUT","SOCEXP","PUB","USD_CAP","A","2016",13931.845,
"AUT","SOCEXP","PUB","USD_CAP","A","2017",13991.987,
"BEL","SOCEXP","PUB","USD_CAP","A","1980",6395.031,
"BEL","SOCEXP","PUB","USD_CAP","A","1981",6798.416,
"BEL","SOCEXP","PUB","USD_CAP","A","1982",6998.21,
"BEL","SOCEXP","PUB","USD_CAP","A","1983",7095.282,
"BEL","SOCEXP","PUB","USD_CAP","A","1984",7047.603,
"BEL","SOCEXP","PUB","USD_CAP","A","1985",7403.812,
"BEL","SOCEXP","PUB","USD_CAP","A","1986",7487.072,
"BEL","SOCEXP","PUB","USD_CAP","A","1987",7582.521,
"BEL","SOCEXP","PUB","USD_CAP","A","1988",7856.669,
"BEL","SOCEXP","PUB","USD_CAP","A","1989",7827.031,
"BEL","SOCEXP","PUB","USD_CAP","A","1990",8152.31,
